Name                                                                                                                                            Stmts   Miss  Cover
virt/lib/python3.4/site-packages/django/core/serializers/json                                                                                      73     46    37%
virt/lib/python3.4/site-packages/django/core/serializers/python                                                                                    86     39    55%
virt/lib/python3.4/site-packages/django/core/serializers/pyyaml                                                                                    41     39     5%
virt/lib/python3.4/site-packages/django/core/serializers/xml_serializer                                                                           213    167    22%
virt/lib/python3.4/site-packages/django/core/servers/__init__                                                                                       0      0   100%
virt/lib/python3.4/site-packages/django/core/servers/basehttp                                                                                      89     59    34%
virt/lib/python3.4/site-packages/django/core/signals                                                                                                4      0   100%
virt/lib/python3.4/site-packages/django/core/signing                                                                                               86     52    40%
virt/lib/python3.4/site-packages/django/core/urlresolvers                                                                                         377    143    62%
virt/lib/python3.4/site-packages/django/core/validators                                                                                           133     58    56%
virt/lib/python3.4/site-packages/django/core/wsgi                                                                                                   3      1    67%
virt/lib/python3.4/site-packages/django/db/__init__                                                                                                45     18    60%
virt/lib/python3.4/site-packages/django/db/backends/__init__                                                                                      548    208    62%
virt/lib/python3.4/site-packages/django/db/backends/creation                                                                                      254    102    60%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/__init__                                                                    0      0   100%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/base                                                                      122     28    77%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/client                                                                     18     12    33%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/creation                                                                   30      5    83%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/introspection                                                              33     20    39%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/operations                                                                115     60    48%
virt/lib/python3.4/site-packages/django/db/backends/postgresql_psycopg2/version                                                                    14     10    29%
virt/lib/python3.4/site-packages/django/db/backends/signals                                                                                         2      0   100%
virt/lib/python3.4/site-packages/django/db/backends/util                                                                                          110     68    38%
virt/lib/python3.4/site-packages/django/db/models/__init__                                                                                         20      5    75%
virt/lib/python3.4/site-packages/django/db/models/aggregates                                                                                       31      7    77%
virt/lib/python3.4/site-packages/django/db/models/base                                                                                            559    293    48%
virt/lib/python3.4/site-packages/django/db/models/constants                                                                                         1      0   100%
virt/lib/python3.4/site-packages/django/db/models/deletion                                                                                        152     50    67%
virt/lib/python3.4/site-packages/django/db/models/expressions                                                                                      94     50    47%
virt/lib/python3.4/site-packages/django/db/models/fields/__init__                                                                                 849    376    56%
virt/lib/python3.4/site-packages/django/db/models/fields/files                                                                                    206     90    56%
virt/lib/python3.4/site-packages/django/db/models/fields/proxy                                                                                      6      3    50%
virt/lib/python3.4/site-packages/django/db/models/fields/related                                                                                  840    321    62%
virt/lib/python3.4/site-packages/django/db/models/fields/subclassing                                                                               21     14    33%
virt/lib/python3.4/site-packages/django/db/models/loading                                                                                         152     29    81%
